N;bin_DF;bin_N;binomial;hits;hits_n;ignored;ignored_n;monkey;stimulus;task;wrong;wrong_n;adjusted_p
70.0;1.0;70.0;1.22136323407393e-13;0.9142857142857143;64.0;0.0;0.0;a;str;2 Visual Stimuli;0.08571428571428572;6.0;3.175544408592218e-12
191.0;1.0;184.0;4.1470364875110814e-09;0.6858638743455497;131.0;0.03664921465968586;7.0;b;str;2 Visual Stimuli;0.2774869109947644;53.0;1.0782294867528812e-07
241.0;1.0;238.0;0.5770667735854003;0.4896265560165975;118.0;0.012448132780082987;3.0;c;str;2 Visual Stimuli;0.4979253112033195;120.0;1.0
316.0;1.0;316.0;7.748831683589508e-55;0.9082278481012658;287.0;0.0;0.0;d;str;2 Visual Stimuli;0.09177215189873418;29.0;2.014696237733272e-53
444.0;1.0;444.0;8.287472862828989e-25;0.7387387387387387;328.0;0.0;0.0;e;str;2 Visual Stimuli;0.26126126126126126;116.0;2.154742944335537e-23
117.0;1.0;114.0;0.9445303440576938;0.4188034188034188;49.0;0.02564102564102564;3.0;f;str;2 Visual Stimuli;0.5555555555555556;65.0;1.0
459.0;1.0;457.0;1.1972120396842662e-74;0.8954248366013072;411.0;0.004357298474945534;2.0;i;str;2 Visual Stimuli;0.10021786492374728;46.0;3.1127513031790923e-73
299.0;1.0;255.0;1.6239764217730556e-05;0.5384615384615384;161.0;0.14715719063545152;44.0;j;str;2 Visual Stimuli;0.31438127090301005;94.0;0.00042223386966099447
320.0;1.0;305.0;2.959667269465701e-13;0.671875;215.0;0.046875;15.0;k;str;2 Visual Stimuli;0.28125;90.0;7.695134900610824e-12
84.0;1.0;83.0;1.9590605730151125e-12;0.8571428571428571;72.0;0.011904761904761904;1.0;a;voc;2 Visual Stimuli;0.13095238095238096;11.0;5.0935574898392926e-11
166.0;1.0;163.0;1.0423606589173894e-19;0.8253012048192772;137.0;0.018072289156626505;3.0;b;voc;2 Visual Stimuli;0.1566265060240964;26.0;2.7101377131852124e-18
279.0;1.0;278.0;0.9951080332054901;0.4229390681003584;118.0;0.0035842293906810036;1.0;c;voc;2 Visual Stimuli;0.5734767025089605;160.0;1.0
328.0;1.0;326.0;2.4545317849240748e-80;0.9634146341463414;316.0;0.006097560975609756;2.0;d;voc;2 Visual Stimuli;0.03048780487804878;10.0;6.381782640802594e-79
458.0;1.0;453.0;9.976425538243873e-21;0.7074235807860262;324.0;0.010917030567685589;5.0;e;voc;2 Visual Stimuli;0.2816593886462882;129.0;2.593870639943407e-19
97.0;1.0;94.0;0.6968520311530171;0.4639175257731959;45.0;0.030927835051546393;3.0;f;voc;2 Visual Stimuli;0.5051546391752577;49.0;1.0
449.0;1.0;444.0;1.226054203781383e-46;0.8173719376391982;367.0;0.011135857461024499;5.0;i;voc;2 Visual Stimuli;0.1714922048997773;77.0;3.187740929831596e-45
475.0;1.0;411.0;0.9999994022144224;0.33052631578947367;157.0;0.13473684210526315;64.0;j;voc;2 Visual Stimuli;0.5347368421052632;254.0;1.0
386.0;1.0;372.0;0.11651176968316763;0.5129533678756477;198.0;0.03626943005181347;14.0;k;voc;2 Visual Stimuli;0.45077720207253885;174.0;1.0
435.0;1.0;432.0;1.9919777989145268e-16;0.6896551724137931;300.0;0.006896551724137931;3.0;g;voc;3 Visual Stimuli;0.30344827586206896;132.0;5.17914227717777e-15
380.0;1.0;375.0;1.7930806242719956e-08;0.6342105263157894;241.0;0.013157894736842105;5.0;h;voc;3 Visual Stimuli;0.3526315789473684;134.0;4.6620096231071887e-07
200.0;1.0;194.0;3.529765712191672e-05;0.625;125.0;0.03;6.0;j;voc;3 Visual Stimuli;0.345;69.0;0.0009177390851698347
498.0;1.0;493.0;1.5430983533258958e-74;0.8775100401606426;437.0;0.010040160642570281;5.0;k;voc;3 Visual Stimuli;0.11244979919678715;56.0;4.012055718647329e-73
437.0;1.0;432.0;1.2777897828397723e-09;0.6361556064073226;278.0;0.011441647597254004;5.0;g;str;3 Visual Stimuli;0.3524027459954233;154.0;3.322253435383408e-08
388.0;1.0;384.0;2.3865977919355767e-10;0.6520618556701031;253.0;0.010309278350515464;4.0;h;str;3 Visual Stimuli;0.33762886597938147;131.0;6.205154259032499e-09
222.0;1.0;211.0;2.7877657198136478e-08;0.6531531531531531;145.0;0.04954954954954955;11.0;j;str;3 Visual Stimuli;0.2972972972972973;66.0;7.248190871515484e-07
503.0;1.0;498.0;1.8683265519311686e-93;0.9145129224652088;460.0;0.009940357852882704;5.0;k;str;3 Visual Stimuli;0.07554671968190854;38.0;4.857649035021038e-92
