animal,hitrate,milestone,trials,total_trials,sessions,reward,step
d,0.8888888888888888,sound,9,882,1,8,32
d,0.8888888888888888,sound,9,882,1,8,33
d,0.8888888888888888,sound,9,882,1,8,34
d,0.8888888888888888,sound,9,882,1,8,35
d,0.25,sound,36,882,1,9,36
d,0.4090909090909091,sound,22,882,2,9,37
d,0.55,sound,20,882,2,11,38
d,0.41935483870967744,sound,31,882,2,13,39
d,0.4482758620689655,sound,29,882,2,13,40
d,0.6923076923076923,sound,13,882,2,9,41
d,0.75,sound,12,882,1,9,42
d,1.0,sound,9,882,1,9,43
d,1.0,sound,18,882,2,18,44
d,0.8,sound,10,882,1,8,45
d,0.75,distractor,12,882,1,9,46
d,0.9,distractor,10,882,1,9,47
d,0.7272727272727273,distractor,11,882,1,8,48
d,0.5,distractor,20,882,1,10,49
