monkey,HitRate,p_trials,Trials,stimulus,sessionType,date
j,0.46808510638297873,25,1887,reward,2 Visual Stimuli,2019-11-26 12:04:03
j,0.46808510638297873,30,1887,wrong,2 Visual Stimuli,2019-11-26 12:04:03
j,0.5212765957446809,35,1887,reward,2 Visual Stimuli,2019-11-26 12:04:03
j,0.46808510638297873,40,1887,wrong,2 Visual Stimuli,2019-11-26 12:04:03
j,0.5531914893617021,45,1887,wrong,2 Visual Stimuli,2019-11-27 14:01:08
j,0.5531914893617021,50,1887,wrong,2 Visual Stimuli,2019-11-27 14:01:08
j,0.4787234042553192,55,1887,reward,2 Visual Stimuli,2019-11-28 11:02:03
j,0.5531914893617021,60,1887,wrong,2 Visual Stimuli,2019-11-28 11:02:03
j,0.43617021276595747,65,1887,wrong,2 Visual Stimuli,2019-11-29 11:02:04
j,0.5425531914893617,70,1887,reward,2 Visual Stimuli,2019-12-18 14:04:09
j,0.5425531914893617,75,1887,reward,2 Visual Stimuli,2019-12-19 13:01:05
j,0.4574468085106383,80,1887,reward,2 Visual Stimuli,2019-12-19 13:01:05
j,0.5106382978723404,85,1887,wrong,2 Visual Stimuli,2019-12-19 13:01:05
j,0.5106382978723404,90,1887,reward,2 Visual Stimuli,2019-12-20 14:02:05
j,0.39361702127659576,95,1887,wrong,2 Visual Stimuli,2019-12-23 12:01:02
j,0.5531914893617021,100,1887,reward,2 Visual Stimuli,2019-12-23 12:01:02
i,0.4868421052631579,5,4573,reward,2 Visual Stimuli,2019-09-02 11:01:08
i,0.5175438596491229,10,4573,reward,2 Visual Stimuli,2019-09-04 10:05:02
i,0.5350877192982456,15,4573,wrong,2 Visual Stimuli,2019-09-06 11:00:03
i,0.4342105263157895,20,4573,reward,2 Visual Stimuli,2019-09-11 12:05:07
i,0.49122807017543857,25,4573,wrong,2 Visual Stimuli,2019-09-16 11:05:03
i,0.5657894736842105,30,4573,reward,2 Visual Stimuli,2019-09-20 14:02:00
i,0.4605263157894737,35,4573,wrong,2 Visual Stimuli,2020-01-29 12:00:09
i,0.5701754385964912,40,4573,wrong,2 Visual Stimuli,2020-05-28 16:08:14
i,0.6929824561403509,45,4573,reward,2 Visual Stimuli,2020-05-29 16:16:43
i,0.6842105263157895,50,4573,reward,2 Visual Stimuli,2020-06-01 15:41:08
i,0.7017543859649122,55,4573,reward,2 Visual Stimuli,2020-06-02 15:23:26
i,0.6578947368421053,60,4573,wrong,2 Visual Stimuli,2020-06-04 16:09:57
i,0.7324561403508771,65,4573,wrong,2 Visual Stimuli,2020-06-08 16:28:52
i,0.7017543859649122,70,4573,reward,2 Visual Stimuli,2020-06-09 15:15:52
i,0.7192982456140351,75,4573,reward,2 Visual Stimuli,2020-06-16 11:41:18
i,0.7192982456140351,80,4573,reward,2 Visual Stimuli,2020-06-18 16:17:32
i,0.8201754385964912,85,4573,reward,2 Visual Stimuli,2020-06-19 16:56:09
i,0.8464912280701754,90,4573,reward,2 Visual Stimuli,2020-06-21 16:58:16
i,0.8640350877192983,95,4573,reward,2 Visual Stimuli,2020-06-23 15:32:40
i,0.9035087719298246,100,4573,reward,2 Visual Stimuli,2020-06-23 16:47:49
d,0.5260663507109005,5,4239,reward,2 Visual Stimuli,2019-11-23 11:04:00
d,0.7014218009478673,10,4239,wrong,2 Visual Stimuli,2019-11-25 12:03:04
d,0.6018957345971564,15,4239,reward,2 Visual Stimuli,2019-11-28 11:00:06
d,0.4597156398104265,20,4239,reward,2 Visual Stimuli,2019-12-19 13:01:03
d,0.5924170616113744,25,4239,wrong,2 Visual Stimuli,2019-12-23 12:00:07
d,0.6255924170616114,30,4239,reward,2 Visual Stimuli,2020-01-23 15:04:00
d,0.6255924170616114,35,4239,reward,2 Visual Stimuli,2020-02-06 12:00:00
d,0.6445497630331753,40,4239,wrong,2 Visual Stimuli,2020-02-14 11:03:06
d,0.7203791469194313,45,4239,wrong,2 Visual Stimuli,2020-06-02 15:08:14
d,0.7251184834123223,50,4239,wrong,2 Visual Stimuli,2020-06-04 16:08:23
d,0.8009478672985783,55,4239,reward,2 Visual Stimuli,2020-06-05 16:21:16
d,0.8625592417061612,60,4239,wrong,2 Visual Stimuli,2020-06-07 15:20:01
d,0.8625592417061612,65,4239,reward,2 Visual Stimuli,2020-06-08 15:10:07
d,0.8293838862559242,70,4239,reward,2 Visual Stimuli,2020-06-09 11:39:58
d,0.8909952606635071,75,4239,reward,2 Visual Stimuli,2020-06-16 11:34:20
d,0.9289099526066351,80,4239,reward,2 Visual Stimuli,2020-06-18 16:18:23
d,0.943127962085308,85,4239,wrong,2 Visual Stimuli,2020-06-19 15:19:32
d,0.9241706161137441,90,4239,reward,2 Visual Stimuli,2020-06-21 17:04:38
d,0.9383886255924171,95,4239,reward,2 Visual Stimuli,2020-06-23 15:17:20
d,0.966824644549763,100,4239,reward,2 Visual Stimuli,2020-06-24 15:46:14
e,0.6155717761557178,5,8234,reward,2 Visual Stimuli,2020-06-01 12:18:32
e,0.5255474452554745,10,8234,reward,2 Visual Stimuli,2020-06-02 12:06:16
e,0.5231143552311436,15,8234,wrong,2 Visual Stimuli,2020-06-03 10:41:33
e,0.5450121654501217,20,8234,reward,2 Visual Stimuli,2020-07-01 16:39:00
e,0.559610705596107,25,8234,wrong,2 Visual Stimuli,2020-07-07 17:30:10
e,0.6423357664233577,30,8234,reward,2 Visual Stimuli,2020-07-08 13:12:40
e,0.6423357664233577,35,8234,reward,2 Visual Stimuli,2020-07-13 16:41:52
e,0.6253041362530414,40,8234,wrong,2 Visual Stimuli,2020-07-14 15:33:59
e,0.6131386861313869,45,8234,reward,2 Visual Stimuli,2020-07-15 14:32:27
e,0.559610705596107,50,8234,wrong,2 Visual Stimuli,2020-02-13 11:03:04
e,0.635036496350365,55,8234,wrong,2 Visual Stimuli,2020-07-17 15:23:26
e,0.6763990267639902,60,8234,reward,2 Visual Stimuli,2020-07-21 15:47:48
e,0.7226277372262774,65,8234,reward,2 Visual Stimuli,2020-07-21 16:54:43
e,0.681265206812652,70,8234,reward,2 Visual Stimuli,2020-07-22 15:42:39
e,0.7177615571776156,75,8234,wrong,2 Visual Stimuli,2020-07-24 16:14:34
e,0.7347931873479319,80,8234,reward,2 Visual Stimuli,2020-07-27 12:30:43
e,0.7153284671532847,85,8234,reward,2 Visual Stimuli,2020-07-31 14:19:39
e,0.7055961070559611,90,8234,reward,2 Visual Stimuli,2020-08-04 11:33:47
e,0.7396593673965937,95,8234,reward,2 Visual Stimuli,2020-08-05 11:30:53
e,0.7688564476885644,100,8234,reward,2 Visual Stimuli,2020-08-10 10:26:16
c,0.5201612903225806,5,9922,reward,2 Visual Stimuli,2019-10-15 14:00:09
c,0.532258064516129,10,9922,wrong,2 Visual Stimuli,2019-10-16 15:05:05
c,0.5181451612903226,15,9922,wrong,2 Visual Stimuli,2019-10-25 16:03:06
c,0.5060483870967742,20,9922,wrong,2 Visual Stimuli,2019-11-16 14:00:03
c,0.5161290322580645,25,9922,wrong,2 Visual Stimuli,2019-11-21 15:04:01
c,0.5181451612903226,30,9922,wrong,2 Visual Stimuli,2019-11-24 12:04:02
c,0.48588709677419356,35,9922,wrong,2 Visual Stimuli,2019-11-25 12:02:01
c,0.4879032258064516,40,9922,reward,2 Visual Stimuli,2019-11-26 12:02:04
c,0.4798387096774194,45,9922,wrong,2 Visual Stimuli,2019-11-28 11:01:09
c,0.4838709677419355,50,9922,reward,2 Visual Stimuli,2019-12-04 15:03:03
c,0.5483870967741935,55,9922,wrong,2 Visual Stimuli,2019-12-06 12:01:01
c,0.5685483870967742,60,9922,reward,2 Visual Stimuli,2019-12-19 12:05:09
c,0.5141129032258065,65,9922,reward,2 Visual Stimuli,2020-01-20 11:02:02
c,0.47580645161290325,70,9922,reward,2 Visual Stimuli,2020-01-28 11:05:07
c,0.47580645161290325,75,9922,reward,2 Visual Stimuli,2020-02-05 12:01:08
c,0.4939516129032258,80,9922,wrong,2 Visual Stimuli,2020-02-07 15:01:07
c,0.49193548387096775,85,9922,wrong,2 Visual Stimuli,2020-02-14 11:03:01
c,0.5463709677419355,90,9922,wrong,2 Visual Stimuli,2020-05-11 15:06:23
c,0.5040322580645161,95,9922,reward,2 Visual Stimuli,2020-05-13 13:59:58
c,0.49798387096774194,100,9922,reward,2 Visual Stimuli,2020-05-18 16:15:17
f,0.44919786096256686,5,3740,reward,2 Visual Stimuli,2019-10-15 14:00:09
f,0.6898395721925134,10,3740,reward,2 Visual Stimuli,2019-10-17 14:04:00
f,0.5240641711229946,15,3740,wrong,2 Visual Stimuli,2019-10-29 14:02:00
f,0.5401069518716578,20,3740,wrong,2 Visual Stimuli,2019-11-01 12:00:06
f,0.5240641711229946,25,3740,reward,2 Visual Stimuli,2019-11-04 13:01:00
f,0.5133689839572193,30,3740,reward,2 Visual Stimuli,2019-11-04 13:01:00
f,0.48128342245989303,35,3740,reward,2 Visual Stimuli,2019-11-06 14:03:05
f,0.5026737967914439,40,3740,wrong,2 Visual Stimuli,2019-11-06 14:03:05
f,0.5240641711229946,45,3740,reward,2 Visual Stimuli,2019-11-14 12:03:03
f,0.40641711229946526,50,3740,reward,2 Visual Stimuli,2019-11-21 13:03:01
f,0.49732620320855614,55,3740,wrong,2 Visual Stimuli,2019-11-26 12:02:04
f,0.5080213903743316,60,3740,wrong,2 Visual Stimuli,2019-11-27 14:01:02
f,0.5294117647058824,65,3740,reward,2 Visual Stimuli,2019-11-28 11:01:09
f,0.5240641711229946,70,3740,reward,2 Visual Stimuli,2019-11-29 11:03:00
f,0.5401069518716578,75,3740,wrong,2 Visual Stimuli,2019-12-04 15:03:03
f,0.5133689839572193,80,3740,reward,2 Visual Stimuli,2019-12-18 14:03:09
f,0.6096256684491979,85,3740,reward,2 Visual Stimuli,2019-12-18 14:03:09
f,0.5828877005347594,90,3740,wrong,2 Visual Stimuli,2019-12-23 12:01:07
f,0.5614973262032086,95,3740,wrong,2 Visual Stimuli,2020-05-14 15:35:23
f,0.5026737967914439,100,3740,reward,2 Visual Stimuli,2020-05-15 11:02:09
g,0.5305164319248826,5,4269,mf001,3 Visual Stimuli,2021-05-25 11:01:59
g,0.6009389671361502,10,4269,gfG001,3 Visual Stimuli,2021-05-28 15:23:15
g,0.6103286384976526,15,4269,gfG001,3 Visual Stimuli,2021-05-31 10:32:28
g,0.6103286384976526,20,4269,mf001,3 Visual Stimuli,2021-06-01 15:26:41
g,0.6572769953051644,25,4269,mf001,3 Visual Stimuli,2021-06-04 14:17:49
g,0.6807511737089202,30,4269,gfG001,3 Visual Stimuli,2021-06-05 13:50:10
g,0.6948356807511737,35,4269,gfG001,3 Visual Stimuli,2021-06-09 13:53:58
g,0.6807511737089202,40,4269,gfG001,3 Visual Stimuli,2021-06-10 11:32:03
g,0.5915492957746479,45,4269,mf001,3 Visual Stimuli,2021-06-11 12:39:53
g,0.6948356807511737,50,4269,gfG001,3 Visual Stimuli,2021-06-14 14:30:05
g,0.6666666666666666,55,4269,mf001,3 Visual Stimuli,2021-06-15 11:34:04
g,0.6572769953051644,60,4269,mf001,3 Visual Stimuli,2021-06-17 09:49:24
g,0.6666666666666666,65,4269,gfG001,3 Visual Stimuli,2021-06-17 13:45:41
g,0.6995305164319249,70,4269,mf001,3 Visual Stimuli,2021-06-18 15:56:43
g,0.6619718309859155,75,4269,mf001,3 Visual Stimuli,2021-06-18 15:22:49
g,0.6807511737089202,80,4269,gfG001,3 Visual Stimuli,2021-06-21 15:35:23
g,0.6807511737089202,85,4269,mf001,3 Visual Stimuli,2021-06-22 15:22:05
g,0.7089201877934272,90,4269,gfG001,3 Visual Stimuli,2021-06-23 11:50:41
g,0.6525821596244131,95,4269,gfG001,3 Visual Stimuli,2021-06-24 12:20:18
g,0.6713615023474179,100,4269,mf001,3 Visual Stimuli,2021-06-24 13:35:34
h,0.5772994129158513,5,10224,gfG001,3 Visual Stimuli,2021-05-07 13:05:11
h,0.6066536203522505,10,10224,mf001,3 Visual Stimuli,2021-05-15 14:08:21
h,0.6418786692759295,15,10224,gfG001,3 Visual Stimuli,2021-05-21 10:33:01
