monkey;task;dprime;trials
d;2 Visual Stimuli;2.26;644.0
a;2 Visual Stimuli;1.76;154.0
i;2 Visual Stimuli;1.57;908.0
b;2 Visual Stimuli;1.06;255.0
e;2 Visual Stimuli;0.85;902.0
k;2 Visual Stimuli;0.44;684.0
j;2 Visual Stimuli;0.02;774.0
c;2 Visual Stimuli;-0.14;520.0
f;2 Visual Stimuli;-0.15;207.0
k;3 Visual Stimuli;1.87;1001.0
g;3 Visual Stimuli;0.62;872.0
j;3 Visual Stimuli;0.61;422.0
h;3 Visual Stimuli;0.55;768.0
