ITI;Outcome;animal
6484.0;reward;d
6294.0;reward;d
8536.0;reward;d
7098.0;wrong;d
1261797.0;wrong;d
6162.0;reward;d
6678.0;wrong;d
38570.0;reward;d
50650.0;wrong;d
-2026003.0;reward;d
-7867422.0;reward;d
3275.0;reward;d
32338.0;wrong;d
5054.0;reward;d
2883.0;reward;d
3874.0;reward;d
4047.0;reward;d
3632.0;reward;d
3110.0;reward;d
4234.0;reward;d
17410.0;wrong;d
5812.0;reward;d
3262.0;reward;d
3369.0;wrong;d
4325.0;reward;d
3283.0;reward;d
3353.0;wrong;d
15285.0;reward;d
3273.0;reward;d
3155.0;wrong;d
5594.0;reward;d
3409.0;reward;d
4540.0;reward;d
3865.0;reward;d
3349.0;wrong;d
149829.0;wrong;d
4570.0;wrong;d
4343.0;reward;d
4359.0;reward;d
2891.0;reward;d
4038.0;reward;d
3923.0;wrong;d
4815.0;wrong;d
4358.0;reward;d
3318.0;wrong;d
4528.0;reward;d
3063.0;reward;d
2936.0;reward;d
3792.0;wrong;d
4519.0;wrong;d
268167.0;reward;d
3912.0;reward;d
3803.0;reward;d
3141.0;reward;d
3698.0;reward;d
4102.0;wrong;d
4789.0;reward;d
6602.0;reward;d
3216.0;reward;d
4378.0;reward;d
3134.0;reward;d
2978.0;wrong;d
4598.0;reward;d
3351.0;wrong;d
4502.0;reward;d
3959.0;reward;d
2990.0;wrong;d
4164.0;wrong;d
4699.0;reward;d
3399.0;reward;d
3752.0;reward;d
3912.0;reward;d
3801.0;reward;d
3977.0;reward;d
4655.0;reward;d
2885.0;reward;d
3259.0;wrong;d
4271.0;wrong;d
4901.0;reward;d
6850.0;wrong;d
4273.0;wrong;d
4636.0;wrong;d
770731.0;wrong;d
4183.0;wrong;d
4642.0;reward;d
3663.0;wrong;d
4640.0;wrong;d
4441.0;reward;d
3855.0;wrong;d
4389.0;wrong;d
6504.0;wrong;d
4914.0;reward;d
3571.0;reward;d
5347.0;wrong;d
4695.0;reward;d
4008.0;reward;d
4061.0;reward;d
5057.0;reward;d
3958.0;wrong;d
4324.0;reward;d
3435.0;wrong;d
4427.0;wrong;d
4947.0;reward;d
3002.0;reward;d
3988.0;reward;d
4108.0;reward;d
3889.0;reward;d
3591.0;reward;d
4557.0;reward;d
3074.0;reward;d
4824.0;wrong;d
4696.0;wrong;d
4315.0;reward;d
5327.0;wrong;d
4314.0;wrong;d
4443.0;wrong;d
7566.0;reward;d
4045.0;reward;d
4726.0;wrong;d
5116.0;reward;d
3919.0;wrong;d
4405.0;wrong;d
4473.0;reward;d
3951.0;reward;d
4066.0;reward;d
3178.0;reward;d
3250.0;wrong;d
4575.0;wrong;d
-1765088.0;wrong;d
3992.0;wrong;d
4608.0;wrong;d
5724.0;reward;d
4186.0;wrong;d
