monkey;task;dprime;trials
a;Artificial Discrimination;-0.19;939.0
b;Artificial Discrimination;-0.04;1061.0
e;Artificial Discrimination;-0.23;161.0
g;Artificial Discrimination;0.05;1219.0
h;Artificial Discrimination;-0.06;1950.0
