monkey;total trials;Kruskal-Wallis;pvalue;task;adj-pvalue
a;422;89.84795614666275;2.571841279964306e-21;Artificial Discrimination;1.0287365119857223e-20
b;392;21.187809057457496;4.16404760904138e-06;Artificial Discrimination;1.665619043616552e-05
g;625;0.04873059563570581;0.8252870388643097;Artificial Discrimination;1.0
h;948;12.140618447440097;0.0004933541314241001;Artificial Discrimination;0.0019734165256964004
